region,target,model,hot_thr_p90_train,mae_all,rmse_all,n_all,mae_ext,rmse_ext,n_ext,avg_mae,avg_rmse
Center,hot,lstm,37.72333374023438,2.265208027943843,2.835234113933968,238,2.6294879298056317,3.224003778695174,31,2.4473479788747374,3.029618946314571
Center,hot,prophet,37.72333374023438,4.739414255944135,5.618634752489041,239,9.82271970946138,10.080292076159076,31,7.281066982702757,7.849463414324058
Center,hot,sarimax,37.72333374023438,4.744054740228915,5.6314151948197235,239,9.776585273281212,10.039768642220764,31,7.260320006755063,7.835591918520244
Center,hot,tab_lstm_hot_israel_wide,37.72333374023438,2.8053578128333854,3.4569472065153564,238,2.015499607209235,2.4987860486445936,31,2.41042871002131,2.9778666275799752
Center,hot,temporalfusion,37.72333374023438,2.265362483112752,2.8376038832992685,238,1.6758847390451728,1.9795636331776012,31,1.9706236110789623,2.408583758238435
Center,soft,lstm,37.72333374023438,1.2450596384641501,1.5819296513456387,238,1.1964512896794137,1.3475031223278555,31,1.220755464071782,1.4647163868367472
Center,soft,prophet,37.72333374023438,1.7609574415868747,2.075083958192385,239,2.7433495457068733,2.913839745108334,31,2.252153493646874,2.4944618516503594
Center,soft,sarimax,37.72333374023438,1.7518012183036318,2.0798021473916246,239,2.7083240002405917,2.9047597204930895,31,2.2300626092721116,2.4922809339423573
Center,soft,tab_lstm_soft_israel_wide,37.72333374023438,1.3543764563167797,1.736831079589852,238,1.5138604564051468,1.8969659323303836,31,1.4341184563609632,1.816898505960118
Center,soft,temporalfusion,37.72333374023438,1.3380763323701061,1.688161096200331,238,1.175555013841198,1.3443993490812824,31,1.2568156731056521,1.5162802226408068
Negev,hot,lstm,39.2033634185791,2.3512877540109547,2.8978279390497135,239,1.8824744846509844,2.392164764782581,46,2.1168811193309693,2.6449963519161472
Negev,hot,prophet,39.2033634185791,4.831832613299832,5.419944581319655,239,6.904195608415917,7.2022524823858305,46,5.8680141108578745,6.311098531852743
Negev,hot,sarimax,39.2033634185791,4.8052045791376266,5.405901547026434,239,6.846824980265346,7.152942863642516,46,5.826014779701486,6.279422205334475
Negev,hot,tab_lstm_hot_israel_wide,39.2033634185791,2.822857437772232,3.5283014760327163,239,1.4529095525326943,1.9396430805582745,46,2.1378834951524635,2.7339722782954956
Negev,hot,temporalfusion,39.2033634185791,2.135408648885943,2.5581466871824294,239,1.2376233805780834,1.4400093336212987,46,1.6865160147320133,1.9990780104018642
Negev,soft,lstm,39.2033634185791,1.5169420348716747,2.019509151600249,239,1.5196237425873247,2.0573438936098367,46,1.5182828887294997,2.038426522605043
Negev,soft,prophet,39.2033634185791,2.170095623857497,2.5062336449948655,239,3.0481784142724346,3.197417358771995,46,2.609137019064966,2.85182550188343
Negev,soft,sarimax,39.2033634185791,2.1436530990022047,2.493591017314937,239,3.0126540126239054,3.1621003305990496,46,2.578153555813055,2.8278456739569933
Negev,soft,tab_lstm_soft_israel_wide,39.2033634185791,1.7114194992363367,2.2720694838002404,239,1.8558864593505857,2.1040140374582847,46,1.7836529792934612,2.188041760629263
Negev,soft,temporalfusion,39.2033634185791,1.4129324398280187,1.7750496647772298,239,1.3576077032780298,1.6627114329621278,46,1.3852700715530242,1.7188805488696788
Northwest,hot,lstm,37.14615249633789,2.40029311080358,2.9840239050557393,239,1.7843990325927725,2.446724873908605,18,2.0923460716981763,2.7153743894821725
Northwest,hot,prophet,37.14615249633789,4.49817045710132,5.451389821033665,239,10.99698781613106,11.089069849653436,18,7.74757913661619,8.27022983534355
Northwest,hot,sarimax,37.14615249633789,4.514579227366862,5.477502889323692,239,10.93386188418165,11.038206878521317,18,7.724220555774256,8.257854883922505
Northwest,hot,tab_lstm_hot_israel_wide,37.14615249633789,2.665832679142014,3.3707266872168655,239,2.2288293838500968,2.805996875112624,18,2.4473310314960557,3.088361781164745
Northwest,hot,temporalfusion,37.14615249633789,2.080550740453489,2.6488775085189804,239,1.5350657569037531,1.9233845108739025,18,1.8078082486786209,2.2861310096964416
Northwest,soft,lstm,37.14615249633789,1.2767592261193352,1.7508944200389382,239,1.2104737317120584,1.6134311689752225,18,1.2436164789156967,1.6821627945070805
Northwest,soft,prophet,37.14615249633789,1.7857161072024026,2.1750743732099327,239,2.811344758398377,2.9795597521883566,18,2.2985304328003897,2.5773170626991444
Northwest,soft,sarimax,37.14615249633789,1.800030966627583,2.207905965676401,239,2.7897101157394357,2.9964399537817235,18,2.2948705411835095,2.602172959729062
Northwest,soft,tab_lstm_soft_israel_wide,37.14615249633789,1.2087020129173203,1.6696726285541486,239,1.1082500528406212,1.448374709930107,18,1.1584760328789707,1.5590236692421278
Northwest,soft,temporalfusion,37.14615249633789,1.2139147461873883,1.6329749524326456,239,1.1035729514227972,1.3636751083099505,18,1.1587438488050927,1.498325030371298
